EntityId,EntityName,LineofBusinessCode,AdhocFlag,EntityType,RelationshipManager,ContactPhone,RegionLocale,Language,ShowConsolidatedHoldingsPage,ConsultantId,ConsultantName
"HICKORY","HSM Solutions","USTR","N",,,,,,,"USTR1","The Trust Co/Dimeo"
"HIERS","Hawaii Employee Retirement System","USTR","N",,,,,,,"USTR19","PCA"
"HILL-A","Hillsdale College Non FL CA","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"HILL-CA","Hillsdale College CA Annuity","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"HILL-FL","Hillsdale College Florida Gift and Annuity ","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"HITMETAL","Hitachi Metals","USTR","N",,,,,,,"USTR31","Merrill Lynch"
"HUHT","Hawaii Employer-Union Health Benefits Trust Fund","USTR","N",,,,,,,"USTR36","Meketa"
"HUHTX","HEUTF-EXFD","USTR","N",,,,,,,"USTR19","PCA"
"ICONF","Ironworkers Conventional Fund ","USTR","N",,,,,,,"USTR26","RBC (C)"
"IDAHOE","Idaho Operating Engineers & Employers","USTR","N",,,,,,,"USTR41","Verus"
"IDBF","Ironworkers Death Benefit Fund","USTR","N",,,,,,,"USTR26","RBC (C)"
"IGEN","Ironworkers General Fund","USTR","N",,,,,,,"USTR26","RBC (C)"
"INOE-A","Local 94 International Union of Operating Engineers","USTR","N",,,,,,,"USTR12","UBS"
"INPO","Institute of Nuclear Power Operations","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"IOOF","Ironworkers Outside Organization Fund","USTR","N",,,,,,,"USTR26","RBC (C)"
"IRONDC","Northwest Ironworkers Retirement Trust","USTR","N",,,,,,,"USTR41","Verus"
"IRONHS","Northwest Ironworkers Health & Security","USTR","N",,,,,,,"USTR41","Verus"
"IRONNW","Northwest Ironworkers Annuity Trust","USTR","N",,,,,,,"USTR41","Verus"
"ISONEW","ISO New England","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"JKNOX","John Knox Village of Tampa Bay","USTR","N",,,,,,,"USTR0","Other"
"KEYHOUR","Keystone Powdered Company Hourly","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"KEYSAL","Keystone Powdered Company Salaried","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"KINKAID","Kinkaid School","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"KNOBU","Knoll Pension Plan for Bargaining Unit Employees","USTR","N",,,,,,,"USTR0","Other"
"KNOLL","Knoll Pension Plan (Non-Union)","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"KUEA","Kansas University Endowment","USTR","N",,,,,,,"USTR24","Cambridge"
"LASALLE","LaSalle Bristol","USTR","N",,,,,,,"USTR9","Raymond James"
"LAWPEN","Lawyers Mutual Pension","USTR","N",,,,,,,"USTR0","Other"
"LAWSERP","Lawyers Mutual SERP","USTR","N",,,,,,,"USTR0","Other"
"LEAR","Lear Corporation","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"LIND","LIUNA National Industrial Pension Fund","USTR","N",,,,,,,"USTR39","Segal"
"LOCAL142","Local 142 Teamsters Health & Welfare Trust","USTR","N",,,,,,,"USTR37","ICS"
"LOCPEN","Local 142 Teamsters Pension Fund","USTR","N",,,,,,,"USTR37","ICS"
"LONZA","Lonza America LLC","USTR","N",,,,,,,"USTR4","Fiducient"
"LOWSAND","Lowenstein Sandler","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"LSAP","LIUNA Staff & Affiliates Pension Fund","USTR","N",,,,,,,"USTR39","Segal"
"LUZERNE","Luzerne County, PA Assets","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"MACON-A","Macon Georgia Fire and Police","USTR","N",,,,,,,"USTR15","AndCo"
"MACOPPS","SLC 2 MAC OPPS","USTR","N",,,,,,,"USTR0","Other"
"MACWAG","SLC 1 MAC IGFI","USTR","N",,,,,,,"USTR0","Other"
"MAHER","Maher Terminals LLC","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"MAN","Mansfield Plumbing","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"MARITZ","Maritz Inc","USTR","N",,,,,,,"USTR29","Wealthstone"
"MAZDA","Mazda Motor Corp","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"MC-DBP","Mississippi College Defined Benefit Plan","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"MCLANE","McLane Middleton","USTR","N",,,,,,,"USTR4","Fiducient"
"MERCY","Mercy Medical Center Retirement Plan","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"MGNITE","Morgan US Employees' Retirement Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"MIDHY","Middletown, CT Pension Plan - High Yield","USTR","N",,,,,,,"USTR27","GYL Financial Strategies"
"MIDTOWN","Middletown, CT Pension Plan - Investment Grade","USTR","N",,,,,,,"USTR27","GYL Financial Strategies"
"NAGEL","Kuehne + Nagel Pension Plan","USTR","N",,,,,,,"USTR4","Fiducient"
"NBDHOUR","Noble Drilling Retirement Trust Hourly","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"NBDSAL","Noble Drilling Retirement Trust Salaried","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"NECA","National Electrical Contractors Association","USTR","N",,,,,,,"USTR31","Merrill Lynch"
"NEEWBF","New England Electrical Workers Benefit Fund","USTR","N",,,,,,,"USTR12","UBS"
"NFLPA","National Football League Players Association","USTR","N",,,,,,,"USTR12","UBS"
"NORTH","Sanford Health - Sanford Bemidji Medical Center","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"NUGGET","Nugget Markets, Inc.","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"NWSHEET","Northwest Sheet Metal Workers","USTR","N",,,,,,,"USTR32","Reliant"
"NYL-TIP","New York Life","USTR","N",,,,,,,"USTR12","UBS"
"OEAMGMT","Ohio Education Association Management Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"OEAUNION","Ohio Education Association Staff Union Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"ONEAL","ONeal Steel","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"OWENS","Owens Corning Pension Plan Credit Long","USTR","N",,,,,,,"USTR43","Wilshire (L)"
"OWENSG","Owens Corning Pension Plan Government Long","USTR","N",,,,,,,"USTR43","Wilshire (L)"
"OXBOW","Oxbow Calcining Salary","USTR","N",,,,,,,"USTR14","Lowery Asset Consulting"
"PA-TIP","Pennsylvania SWIF","USTR","N",,,,,,,"USTR26","RBC (C)"
"PABSHORT","Painters District Council 35 Health Fund - Short Duration","USTR","N",,,,,,,"USTR36","Meketa"
"PAINTANN","Painters District Council 35 Annuity Fund - Core","USTR","N",,,,,,,"USTR36","Meketa"
"PAINTHB","Painters District Council 35 Health Fund - Core","USTR","N",,,,,,,"USTR36","Meketa"
"PAINTPEN","Painters District Council 35 Pension Fund - Core","USTR","N",,,,,,,"USTR36","Meketa"
"PAN","Patient Access Network","USTR","N",,,,,,,"USTR12","UBS"
"PANSHORT","Painters District Council 35 Annuity Fund - Short Duration","USTR","N",,,,,,,"USTR36","Meketa"
"PAUSTIF","Pennsylvania USTIF","USTR","N",,,,,,,"USTR12","UBS"
"PAWCSF","Pennsylvania Workers Compensation Fund","USTR","N",,,,,,,"USTR12","UBS"
"PILKHOUR","Pilkington N.A. Hourly Pension Plan","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"PILKSAL","Pilkington N.A. Salaried Retirement Plan","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"POWVEBA","Green Mountain Power VEBA   ","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"PSOLVE","River and Mercantile Fund","USTR","N",,,,,,,"USTR23","River and Mercantile"
"PUHY","PAUSTIF High Yield","USTR","N",,,,,,,"USTR12","UBS"
"PWHY","PAWCSF High Yield","USTR","N",,,,,,,"USTR12","UBS"
"RLHY","RL High Yield Fund","USTR","N",,,,,,,"USTR34","Sun Life"
"ROGDBP","Rogers Corp Defined Benefit Plan","USTR","N",,,,,,,"USTR0","Other"
"ROGEBP","Rogers Corp Employee Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"SANOPPS","Sanford Health - Opportunistic","USTR","N",,,,,,,"USTR0","Other"
"SCFMS","CBIS - St. Columbans Foreign Mission Society","USTR","N",,,,,,,"USTR0","Other"
"SDCERA","San Diego County Employees Retirement - Core","USTR","N",,,,,,,"USTR10","Aon Hewitt"
"SDOPPS","San Diego County Employees Retirement - Opportunistic","USTR","N",,,,,,,"USTR0","Other"
"SHAGG","Sibley Memorial Hospital Aggregate Account","USTR","N",,,,,,,"USTR15","AndCo"
"SHARP","Sharp Electronics Corporation","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"SHF","Sibley Hospital Foundation","USTR","N",,,,,,,"USTR0","Other"
"SHMDS","Sibley Memorial Hospital MDS","USTR","N",,,,,,,"USTR15","AndCo"
"SHOPMENS","National Shopmens' Pension Fund","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"SIBLEY","Sibley Memorial Hospital Pension Trust Fund","USTR","N",,,,,,,"USTR15","AndCo"
"SIFMA","SIFMA","USTR","N",,,,,,,"USTR0","Other"
"SIGBURG"," SI Group Orangeburg","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"SILICA","U.S. Silica Company","USTR","N",,,,,,,"USTR4","Fiducient"
"SIT-TIPS","Utah State & Institutional Trust Fund TIPS","USTR","N",,,,,,,"USTR0","Other"
"SITFO","Utah School & Institutional Trust Funds","USTR","N",,,,,,,"USTR2","FEG"
"SJMEDPEN","St Joseph Short Duration","USTR","N",,,,,,,"USTR0","Other"
"SLAGGDRP","Sun Life Aggregate DRP","USTR","N",,,,,,,"USTR34","Sun Life"
"SLCLC","SLC Long Credit CIT","USTR","N",,,,,,,"USTR0","Other"
"SLGI","Sun Life Global Investments","USTR","N",,,,,,,"USTR34","Sun Life"
"SLGIPLUS","SLGI Core Plus","USTR","N",,,,,,,"USTR0","Other"
"SLTSYDRP","Sun Life Treasury DRP","USTR","N",,,,,,,"USTR34","Sun Life"
"SLUKE","St. Luke's Hospital of Duluth","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"SM-A","Cooperativa Seguros Multiples","USTR","N",,,,,,,"USTR12","UBS"
"SONSHORT","Painters District Council 35 Pension Fund - Short Duration","USTR","N",,,,,,,"USTR36","Meketa"
"SPU","St. Peter’s University Retirement Plan","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"STAMFORD","City of Stamford","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"STJCAP","SJHS Insurance Limited","USTR","N",,,,,,,"USTR12","UBS"
"STJOSEPH","St. Joseph’s Hospital Medical Center Pension","USTR","N",,,,,,,"USTR12","UBS"
"SUNLIFE","Sun Life Public Fixed Income","USTR","N",,,,,,,"USTR34","Sun Life"
"SVDT","CBIS - SVD TECHNY","USTR","N",,,,,,,"USTR0","Other"
"TIFT","Tift Regional Medical Center","USTR","N",,,,,,,"USTR12","UBS"
"TLOC-A","Teamsters Local 641 Pension Plan","USTR","N",,,,,,,"USTR0","Other"
"TRAVEL","Travelport Inc.","USTR","N",,,,,,,"USTR45","Clearstead"
"TUNANN","Local 147 Tunnel Workers Annuity Fund","USTR","N",,,,,,,"USTR37","ICS"
"TUNRET","Local 147 Tunnel Workers Retirement Fund","USTR","N",,,,,,,"USTR37","ICS"
"TURKS","National Insurance Board of Turks and Caicos","USTR","N",,,,,,,"USTR12","UBS"
"UAMPEN","Universidad Ana G. Mendez Pension Plan","USTR","N",,,,,,,"USTR0","Other"
"UFCW-A","UFCW Tri-State Pension Fund","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"UMASS","UMass Medical Pension Plan","USTR","N",,,,,,,"USTR6","NEPC"
"UNM-A","University of New Mexico General Operating","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"UNM-H","University of New Mexico Hospital","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"USAVBA","Union Savings Bank","USTR","N",,,,,,,"USTR4","Fiducient"
"UVCHAMP","UVM - Champlain Valley Physicians Hospital ","USTR","N",,,,,,,"USTR4","Fiducient"
"UVMED","UVM - University of Vermont Medical Center","USTR","N",,,,,,,"USTR4","Fiducient"
"UWAY","United Way of Dayton","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"VMC","UVM - Central Vermont Medical Center ","USTR","N",,,,,,,"USTR4","Fiducient"
"WASH","Washington Hospital","USTR","N",,,,,,,"USTR45","Clearstead"
"WAYNE","Wayne Memorial Hospital Inc. ","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"WILLIAMS","White Williams Pension Plan","USTR","N",,,,,,,"USTR12","UBS"
"WORTH","Gerstenslager Pension Plan","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"WPP-A","Wheaton Police Pension Plan","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"XCEL","Xcel Energy Inc.","USTR","N",,,,,,,"USTR8","Goldman Sachs"
